CKEY;CREF;CNUM;CEND;TEXTCODE;NAME
;;;;12.1.3.;12.1.3. Гемодиализ продолжительный (стационарно, продолжительность не менее 24ч)
;;;;12.1.4.;12.1.4. Гемодиализ интермиттирующий высокопоточный
;;;;12.1.4.;12.1.4. Гемодиализ интермиттирующий высокопоточный
;;;;12.1.4.;12.1.4. Гемодиализ интермиттирующий высокопоточный
;;;;12.1.5.;12.1.5. Гемофильтрация крови
;;;;12.1.5.1.;12.1.5.1. Гемофильтрация крови (стационарно, продолжительность от 12ч до 24ч)
;;;;12.1.5.1.;12.1.5.1. Гемофильтрация крови (стационарно, продолжительность от 12ч до 24ч)
;;;;12.1.5.1.;12.1.5.1. Гемофильтрация крови (стационарно, продолжительность от 12ч до 24ч)
;;;;12.1.5.2.;12.1.5.2. Гемофильтрация крови продолжительная (стационарно, продолжительность не менее 24ч)
;;;;12.1.5.2.;12.1.5.2. Гемофильтрация крови продолжительная (стационарно, продолжительность не менее 24ч)
;;;;12.1.5.2.;12.1.5.2. Гемофильтрация крови продолжительная (стационарно, продолжительность не менее 24ч)
;;;;12.10.;12.10. Цитаферез
;;;;12.10.1.;12.10.1. Процедура аппаратного цитафереза
;;;;12.10.1.;12.10.1. Процедура аппаратного цитафереза
;;;;12.10.1.;12.10.1. Процедура аппаратного цитафереза
;;;;12.10.2.;12.10.2. Процедура аппаратного цитафереза с направленным транспортом лекарственных средств
;;;;12.10.2.;12.10.2. Процедура аппаратного цитафереза с направленным транспортом лекарственных средств
;;;;12.10.2.;12.10.2. Процедура аппаратного цитафереза с направленным транспортом лекарственных средств
;;;;12.10.3.;12.10.3. Процедура аппаратного цитафереза гемопоэтических клеток
;;;;12.10.3.;12.10.3. Процедура аппаратного цитафереза гемопоэтических клеток
;;;;12.10.3.;12.10.3. Процедура аппаратного цитафереза гемопоэтических клеток
;;;;12.10.4.;12.10.4. Процедура эритроцитафереза
;;;;12.10.4.;12.10.4. Процедура эритроцитафереза
;;;;12.10.4.;12.10.4. Процедура эритроцитафереза
;;;;12.2.;12.2. Процедура гемосорбции
;;;;12.2.;12.2. Процедура гемосорбции
;;;;12.2.;12.2. Процедура гемосорбции
;;;;12.3.;12.3. Ультрафильтрация крови
;;;;12.3.1.;12.3.1. Ультрафильтрация крови (стационарно)
;;;;12.3.1.;12.3.1. Ультрафильтрация крови (стационарно)
;;;;12.3.1.;12.3.1. Ультрафильтрация крови (стационарно)
;;;;12.3.2.;12.3.2. Ультрафильтрация продленная (стационарно, продолжительность от 12ч до 24ч)
;;;;12.3.2.;12.3.2. Ультрафильтрация продленная (стационарно, продолжительность от 12ч до 24ч)
;;;;12.3.2.;12.3.2. Ультрафильтрация продленная (стационарно, продолжительность от 12ч до 24ч)
;;;;12.4.;12.4. Плазмаферез
;;;;12.4.1.;12.4.1. Процедура среднеобъемного дискретного плазмафереза
;;;;12.4.1.;12.4.1. Процедура среднеобъемного дискретного плазмафереза
;;;;12.4.1.;12.4.1. Процедура среднеобъемного дискретного плазмафереза
;;;;12.4.2.;12.4.2. Процедура среднеобъемного аппаратного плазмафереза
;;;;12.4.2.;12.4.2. Процедура среднеобъемного аппаратного плазмафереза
;;;;12.4.2.;12.4.2. Процедура среднеобъемного аппаратного плазмафереза
;;;;12.4.3.;12.4.3. Процедура высокообъемного аппаратного плазмафереза (с удалением не менее 70% объема циркулирующей плазмы с замещением до
;;;;12.4.3.;12.4.3. Процедура высокообъемного аппаратного плазмафереза (с удалением не менее 70% объема циркулирующей плазмы с замещением до
;;;;12.4.3.;12.4.3. Процедура высокообъемного аппаратного плазмафереза (с удалением не менее 70% объема циркулирующей плазмы с замещением до
;;;;12.4.4.;12.4.4. Процедура непрерывной аппаратной каскадной плазмофильтрации (с применением селективных плазмофильтров)
;;;;12.4.4.;12.4.4. Процедура непрерывной аппаратной каскадной плазмофильтрации (с применением селективных плазмофильтров)
;;;;12.4.4.;12.4.4. Процедура непрерывной аппаратной каскадной плазмофильтрации (с применением селективных плазмофильтров)
;;;;12.6.;12.6. Процедура низкоинтенсивной лазеротерапии (внутривенное облучение крови)
;;;;12.6.;12.6. Процедура низкоинтенсивной лазеротерапии (внутривенное облучение крови)
;;;;12.6.;12.6. Процедура низкоинтенсивной лазеротерапии (внутривенное облучение крови)
;;;;12.7.;12.7. Процедура озонотерапии (большая аутогемозонотерапия)
;;;;12.7.;12.7. Процедура озонотерапии (большая аутогемозонотерапия)
;;;;12.7.;12.7. Процедура озонотерапии (большая аутогемозонотерапия)
;;;;12.8.;12.8. Гемодиафильтрация
;;;;12.8.1.;12.8.1. Гемодиафильтрация
;;;;12.8.1.;12.8.1. Гемодиафильтрация
;;;;12.8.1.;12.8.1. Гемодиафильтрация
;;;;12.8.3.;12.8.3. Гемодиафильтрация продолжительная (стационарно, продолжительность не менее 24ч)
;;;;12.8.3.;12.8.3. Гемодиафильтрация продолжительная (стационарно, продолжительность не менее 24ч)
;;;;12.8.3.;12.8.3. Гемодиафильтрация продолжительная (стационарно, продолжительность не менее 24ч)
;;;;12.8.4.;12.8.4. Гемодиафильтрация продленная (стационарно, продолжительность от 12ч до 24ч)
;;;;12.8.4.;12.8.4. Гемодиафильтрация продленная (стационарно, продолжительность от 12ч до 24ч)
;;;;12.8.4.;12.8.4. Гемодиафильтрация продленная (стационарно, продолжительность от 12ч до 24ч)
;;;;12.9.;12.9. Процедура аппаратной реинфузии крови
;;;;12.9.;12.9. Процедура аппаратной реинфузии крови
;;;;12.9.;12.9. Процедура аппаратной реинфузии крови
;;;;13.;13. КОМПЛЕКСНАЯ АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКАЯ ФТИЗИАТРИЧЕСКАЯ УСЛУГА
;;;;13.1.;13.1. ВЗРОСЛЫЕ И ПОДРОСТКИ ПО ГРУППАМ УЧЕТА (ГРУППА ДИСПАНСЕРНОГО УЧЕТА ОПРЕДЕЛЯЕТСЯ ПО 4 ВКЛАДЫШУ СТАТИСТИЧЕСКОГО ОТЧЕТА)
;;;;13.1.1.;13.1.1. Нулевая группа
;;;;13.1.10.;13.1.10. УА+Б без вновь выявленных
;;;;13.1.11.;13.1.11. УВ
;;;;13.1.2.;13.1.2. I BK+
;;;;13.1.3.;13.1.3. I BK-
;;;;13.1.4.;13.1.4. II
;;;;13.1.5.;13.1.5. III
;;;;13.1.6.;13.1.6. IV
;;;;13.1.7.;13.1.7. VII
;;;;13.1.8.;13.1.8. VIII Саркоидоз
;;;;13.1.8.1.;"13.1.8.1. Подгруппа ""А""-впервые выявленные"
;;;;13.1.8.2.;"13.1.8.2. Подгруппа ""Б""-больные с обострени- ем и рецидивами"
;;;;13.1.8.3.;"13.1.8.3. Подгруппа ""В""-лица, клинически из- леченные (неактивный саркоидоз)"
;;;;13.1.9.;13.1.9. Вновь выявленный больной с туберку- лезом внелегочных локализаций
;;;;13.2.;13.2. ДЕТИ ПО ГРУППАМ УЧЕТА
;;;;13.2.1.;13.2.1. Нулевая группа
;;;;13.2.2.;13.2.2. Вновь выявленные с локальными форма- ми туберкулеза
;;;;13.2.3.;13.2.3. I+П без вновь выявленных
;;;;13.2.4.;13.2.4. III
;;;;13.2.5.;13.2.5. IV
;;;;13.2.6.;13.2.6. VI
;;;;13.2.7.;13.2.7. VIII Саркоидоз
;;;;13.2.7.1.;"13.2.7.1. Подгруппа ""А""-впервые выявленные больные с активной формой саркоидоза любой локализации"
;;;;13.2.7.2.;"13.2.7.2. Подгруппа ""Б""-больные с обострени- ями и рецидивами"
;;;;13.2.7.3.;"13.2.7.3. Подгруппа ""В""-лица с клинически излеченным саркоидозом (неактивный саркоидоз)"
;;;;13.3.;13.3. ОБСЛЕДОВАНИЕ ДЕТЕЙ С ЦЕЛЬЮ ВЫЯВЛЕНИЯ ТУБЕРКУЛЕЗА-ПОСТАНОВКА ТУБЕРКУЛИНОВЫХ ПРОБ (проба Манту)
;;;;13.3.;13.3. ОБСЛЕДОВАНИЕ ДЕТЕЙ С ЦЕЛЬЮ ВЫЯВЛЕНИЯ ТУБЕРКУЛЕЗА-ПОСТАНОВКА ТУБЕРКУЛИНОВЫХ ПРОБ (проба Манту)
;;;;13.4.;13.4. Обследование детей  (8-17 лет) с целью выявления туберкулеза - проба диаскинтест
;;;;13.4.;13.4. Обследование детей  (8-17 лет) с целью выявления туберкулеза - проба диаскинтест
;;;;14.;14. ФИЗИОТЕРАПЕВТИЧЕСКОЕ ЛЕЧЕНИЕ
;;;;14.1.;14.1. ВЗРОСЛЫМ
;;;;14.1.1.;14.1.1. ЭЛЕКТРОЛЕЧЕНИЕ
;;;;14.1.1.1.;14.1.1.1. Гальванизация
;;;;14.1.1.10.;14.1.1.10. Токи надтональной частоты
;;;;14.1.1.11.;14.1.1.11. Дарсонвализация местная
;;;;14.1.1.12.;14.1.1.12. Дарсонвализация полостная
;;;;14.1.1.13.;14.1.1.13. Флюктуоризация
;;;;14.1.1.14.;14.1.1.14. Франклинизация общая
;;;;14.1.1.15.;14.1.1.15. Франклинизация местная
;;;;14.1.1.16.;14.1.1.16. Индуктотермия
;;;;14.1.1.17.;14.1.1.17. Индуктотермоэлектрофорез
;;;;14.1.1.18.;14.1.1.18. УВЧ - терапия
;;;;14.1.1.19.;14.1.1.19. Дециметроволновая терапия
;;;;14.1.1.2.;14.1.1.2. Лекарственный электрофорез постоянным, диадина- мическим синусоидальным модулированными токами
;;;;14.1.1.20.;14.1.1.20. Сантиметроволновая терапия
;;;;14.1.1.21.;14.1.1.21. Магнитотерапия низкочастотная
;;;;14.1.1.22.;14.1.1.22. Аэроинотерапия групповая
;;;;14.1.1.23.;14.1.1.23. Аэроинотерапия индивидуальная или местная
;;;;14.1.1.24.;14.1.1.24. Электроаэрозольтерапия групповая
;;;;14.1.1.25.;14.1.1.25. Электроаэрозольтерапия индивидуа- льная
;;;;14.1.1.3.;14.1.1.3. Гальванизация и электрофорез поло- стные
;;;;14.1.1.4.;14.1.1.4. Вакуум-электрофорез
;;;;14.1.1.5.;14.1.1.5. Гидрогальванические камерные ванны
;;;;14.1.1.6.;14.1.1.6. Электростимуляция мышц (с учетом проведения процедуры врачом)
;;;;14.1.1.7.;14.1.1.7. Электросон( в т.ч. церебральная электроанальгезия)
;;;;14.1.1.8.;14.1.1.8. Диадинамо-терапия
;;;;14.1.1.9.;14.1.1.9. СТМ - терапия
;;;;14.1.10.;14.1.10. ПРОЦЕДУРЫ ПО ЛФК ВЗРОСЛЫМ И ДЕТЯМ:
;;;;14.1.10.1.;14.1.10.1. Осмотр
;;;;14.1.10.2.;14.1.10.2. ПРОЦЕДУРЫ ПО ЛФК ДЛЯ ТЕРАПЕВТИЧЕ- СКИХ БОЛЬНЫХ:
;;;;14.1.10.2.1.;14.1.10.2.1. в период выздоровления или хро- нического течения заболевания при индивидуа- льном методе занятий
;;;;14.1.10.2.2.;14.1.10.2.2. при групповом методе занятий
;;;;14.1.10.3.;14.1.10.3. ДЛЯ БОЛЬНЫХ ПОСЛЕ ХИРУРГИЧЕСКИХ ОПЕРАЦИЙ:
;;;;14.1.10.3.1.;14.1.10.3.1. при индивидуальном методе заня- тий
;;;;14.1.10.3.2.;14.1.10.3.2. при групповом методе занятий
;;;;14.1.10.4.;14.1.10.4. ДЛЯ ТРАВМАТОЛОГИЧЕСКИХ БОЛЬНЫХ, В ПЕРИОД ИММОБИЛИЗАЦИИ:
;;;;14.1.10.4.1.;14.1.10.4.1. при индивидуальном методе заня- тий
;;;;14.1.10.4.2.;14.1.10.4.2. при групповом методе занятий
;;;;14.1.10.4.3.;14.1.10.4.3. при травмах позвоночника и таза
;;;;14.1.10.4.4.;14.1.10.4.4. после иммобилизации индивидуа- льные занятия
;;;;14.1.10.4.5.;14.1.10.4.5. после иммобилизации групповые занятия
;;;;14.1.10.4.6.;14.1.10.4.6. ПРИ ТРАВМАХ ПОЗВОНОЧНИКА:
;;;;14.1.10.4.6.1.;14.1.10.4.6.1. при индивидуальном методе за- нятий
;;;;14.1.10.4.6.2.;14.1.10.4.6.2. при групповом методе занятий
;;;;14.1.10.5.;14.1.10.5. ДЛЯ НЕВРОЛОГИЧЕСКИХ БОЛЬНЫХ:
;;;;14.1.10.5.1.;14.1.10.5.1. при индивидуальном методе заня- тий
;;;;14.1.10.5.2.;14.1.10.5.2. при групповом методе занятий
;;;;14.1.10.6.;14.1.10.6. ДЛЯ БЕРЕМЕННЫХ И РОЖЕНИЦ В РОДДО- МАХ И ЖЕНСКИХ КОНСУЛЬТАЦИЯХ:
;;;;14.1.10.6.1.;14.1.10.6.1. при индивидуальном методе заня- тий
;;;;14.1.10.6.2.;14.1.10.6.2. при групповом методе занятий
;;;;14.1.10.7.;14.1.10.7. ДЛЯ ДЕТЕЙ ШКОЛЬНОГО ВОЗРАСТА В ШКОЛАХ:
;;;;14.1.10.7.1.;14.1.10.7.1. при индивидуальном методе заня- тий
;;;;14.1.10.7.2.;14.1.10.7.2. при групповом методе занятий
;;;;14.1.10.8.;14.1.10.8. ДЛЯ ДЕТЕЙ ДОШКОЛЬНОГО ВОЗРАСТА В ДЕТСКИХ ДОШКОЛЬНЫХ УЧРЕЖДЕНИЯХ):
;;;;14.1.10.8.1.;14.1.10.8.1. при индивидуальном методе заня- тий
;;;;14.1.10.8.2.;14.1.10.8.2. при групповом методе занятий
;;;;14.1.11.;14.1.11. У-ШУ
;;;;14.1.12.;14.1.12. ЛЕЧЕНИЕ ПО МЕТОДУ БУТЕЙКО
;;;;14.1.13.;14.1.13. Кислородные коктейли
;;;;14.1.14.;14.1.14. Подводное вытяжение
;;;;14.1.15.;14.1.15. КВЧ-ТЕРАПИЯ
;;;;14.1.15.1.;14.1.15.1. КВЧ-терапия (курс - 10 процедур)
;;;;14.1.15.2.;14.1.15.2. КВЧ 1 БИОЛОГИЧЕСКИ-АКТИВНОЙ ТОЧКИ
;;;;14.1.15.3.;14.1.15.3. КВЧ-терапия (1 процед.)
;;;;14.1.16.;14.1.16. Гравитационная терапия
;;;;14.1.2.;14.1.2. СВЕТОЛЕЧЕНИЕ
;;;;14.1.2.1.;14.1.2.1. Определение биодозы
;;;;14.1.2.2.;14.1.2.2. УФ - облучение общее и местное
;;;;14.1.2.3.;14.1.2.3. ОБЛУЧЕНИЕ ДРУГИМИ ИСТОЧНИКАМИ СВЕ- ТА:
;;;;14.1.2.3.1.;14.1.2.3.1. Лазеротерапия
;;;;14.1.2.4.;14.1.2.4. Электросветовая ванна
;;;;14.1.2.5.;"14.1.2.5. Электростимуляция на аппарате ""ЭЛЕКТРОСТИМУЛЯТОР"""
;;;;14.1.3.;14.1.3. УЛЬТРАЗВУК
;;;;14.1.3.1.;14.1.3.1. Ультразвуковая терапия
;;;;14.1.3.2.;14.1.3.2. Фонофорез
;;;;14.1.3.3.;14.1.3.3. Инфракрасное излучение
;;;;14.1.3.4.;14.1.3.4. Видимое излучение
;;;;14.1.4.;14.1.4. ИНГАЛЯЦИИ
;;;;14.1.4.1.;14.1.4.1. Ингаляции (различные)
;;;;14.1.4.2.;14.1.4.2. Кислородотерапия в палатке
;;;;14.1.4.3.;14.1.4.3. Баротерапия местная
;;;;14.1.5.;14.1.5. МАССАЖ
;;;;14.1.5.1.;14.1.5.1. Головы (лобно-височной и затылоч- нотеменной области)
;;;;14.1.5.10.;14.1.5.10. Кисти и предплечья
;;;;14.1.5.11.;14.1.5.11. Области грудной клетки (области передней поверхности грудной клетки от перед- них границ надплечий до реберных дуг и
;;;;14.1.5.12.;14.1.5.12. Спины ( от YII шейного до I пояс- ничного позвонка и от левой до правой средней аксилярной линии у детей включая пояс
;;;;14.1.5.13.;14.1.5.13. Мышц передней брюшной стенки
;;;;14.1.5.14.;14.1.5.14. Пояснично-крестцовой области (от I поясничного позвонка до нижних ягодичных складок)
;;;;14.1.5.15.;14.1.5.15. Сегментарный массаж пояснично- крестцовой области
;;;;14.1.5.16.;14.1.5.16. Спины и поясницы (от YII шейного позвонка до крестца и от левой до правой сре- дней аксиллярной линии)
;;;;14.1.5.17.;14.1.5.17. Шейно-грудного отдела позвоночни- ка (области задней поверхности шеи, области спины до I поясничного позвонка от лево
;;;;14.1.5.18.;14.1.5.18. Сегментарный массаж шейно-грудно- го отдела позвоночника
;;;;14.1.5.19.;14.1.5.19. Области позвоночника (области за- дней поверхности шеи, спины и поясничнокрест- цовой области левой до правой задней
;;;;14.1.5.2.;14.1.5.2. Лица (лобной, окологлазничной, ве- рхне и нижнечелюстной области)
;;;;14.1.5.20.;14.1.5.20. Нижней конечности
;;;;14.1.5.21.;14.1.5.21. Нижней конечности и поясницы (об- ласти стопы, голени, бедра, ягодичной и пояс- нично-крестцовой области)
;;;;14.1.5.22.;14.1.5.22. Тазобедренного сустава (с верхней трети бедра, области тазобедренного сустава и ягодичной области одноименной стороны
;;;;14.1.5.23.;14.1.5.23. Коленного сустава (верхней трети голени, области коленного сустава и нижней трети бедра)
;;;;14.1.5.24.;14.1.5.24. Голеностопного сустава (проксима- льного отдела стопы, области голеностопного сустава и нижней трети голени)
;;;;14.1.5.25.;14.1.5.25. Стопы и голени
;;;;14.1.5.26.;14.1.5.26. Общий массаж ( у детей грудного и младшего дошкольного возраста)
;;;;14.1.5.27.;14.1.5.27. Пневмокомпрессионный массаж (30 мин.)
;;;;14.1.5.28.;14.1.5.28. Пневмокомпрессионный массаж (60 мин.)
;;;;14.1.5.3.;14.1.5.3. Шеи
;;;;14.1.5.4.;14.1.5.4. Воротниковой зоны (задней поверхности шеи, спины до уровня IY грудного позвоночника, передней поверхности грудной клет
;;;;14.1.5.5.;14.1.5.5. Верхней конечности
;;;;14.1.5.6.;14.1.5.6. Верхней конечности, надплечья и области лопатки
;;;;14.1.5.7.;14.1.5.7. Плечевого сустава (верхней трети плеча, области плечевого сустава и надплечья одноименной стороны)
;;;;14.1.5.8.;14.1.5.8. Локтевого сустава (верхней трети предплечья области локтевого сустава и нижней трети плеча и надплечья одноименной сто
;;;;14.1.5.9.;14.1.5.9. Лучезапястного сустава (проксима- льного отдела кисти, области лучезапястного сустава и предплечья)
;;;;14.1.6.;14.1.6. ВОДОЛЕЧЕНИЕ
;;;;14.1.6.1.;14.1.6.1. ВАННЫ
;;;;14.1.6.1.1.;14.1.6.1.1. Иодо-бромная
;;;;14.1.6.1.10.;14.1.6.1.10. Гидрогальванические ванны
;;;;14.1.6.1.2.;14.1.6.1.2. Вихревая для конечностей
;;;;14.1.6.1.3.;14.1.6.1.3. Морская
;;;;14.1.6.1.4.;14.1.6.1.4. Сероводородная
;;;;14.1.6.1.5.;14.1.6.1.5. Родоновая
;;;;14.1.6.1.6.;14.1.6.1.6. Скипидарная
;;;;14.1.6.1.7.;14.1.6.1.7. Хвойная
;;;;14.1.6.1.8.;14.1.6.1.8. Соляно-хвойная
;;;;14.1.6.1.9.;14.1.6.1.9. 4-х камерная
;;;;14.1.6.2.;14.1.6.2. ДУШИ
;;;;14.1.6.2.1.;14.1.6.2.1. Веерный
;;;;14.1.6.2.2.;14.1.6.2.2. Циркулярный
;;;;14.1.6.2.3.;14.1.6.2.3. Восходящий
;;;;14.1.6.2.4.;14.1.6.2.4. Нисходящий
;;;;14.1.6.2.5.;14.1.6.2.5. Шарко
;;;;14.1.6.2.6.;14.1.6.2.6. Подводный массаж
;;;;14.1.7.;14.1.7. ГРЯЗЕЛЕЧЕНИЕ
;;;;14.1.7.1.;14.1.7.1. Аппликация грязевая
;;;;14.1.7.2.;14.1.7.2. Аппликация озокеритовая
;;;;14.1.7.3.;14.1.7.3. Гальваногрязелечение
;;;;14.1.7.4.;14.1.7.4. Электрогрязь
;;;;14.1.8.;14.1.8. ИГЛОРЕФЛЕКСОТЕРАПИЯ
;;;;14.1.8.1.;14.1.8.1. Иглорефлексотерапия при терапевти- ческих, неврологических, гинекологических за- болеваниях
;;;;14.1.8.2.;14.1.8.2. Иглорефлексотерапия при офтальмо- логических заболеваниях
;;;;14.1.8.3.;14.1.8.3. Иглорефлексотерапия при сексопато- логических расстройствах
;;;;14.1.9.;14.1.9. СПЕЛЕОТЕРАПИЯ
;;;;14.1.9.1.;14.1.9.1. Галотерапия низкодисперсная
;;;;14.1.9.2.;14.1.9.2. Галотерапия высокодисперсная
;;;;14.2.;14.2. ДЕТЯМ
;;;;14.2.1.;14.2.1. ЭЛЕКТРОЛЕЧЕНИЕ
;;;;14.2.1.1.;14.2.1.1. Гальванизация
;;;;14.2.1.10.;14.2.1.10. Токи надтональной частоты
;;;;14.2.1.11.;14.2.1.11. Дарсонвализация местная
;;;;14.2.1.13.;14.2.1.13. Флюктуоризация
;;;;14.2.1.14.;14.2.1.14. Франклинизация общая
;;;;14.2.1.15.;14.2.1.15. Франклинизация местная
;;;;14.2.1.16.;14.2.1.16. Индуктотермия
;;;;14.2.1.17.;14.2.1.17. Индуктотермоэлектрофорез
;;;;14.2.1.18.;14.2.1.18. УВЧ - терапия
;;;;14.2.1.19.;14.2.1.19. Дециметроволновая терапия
;;;;14.2.1.2.;14.2.1.2. Лекарственный электрофорез постоя- нным, диадинамическим синусоидальным модули- рованными токами
;;;;14.2.1.20.;14.2.1.20. Сантиметроволновая терапия
;;;;14.2.1.21.;14.2.1.21. Магнитотерапия низкочастотная
;;;;14.2.1.22.;14.2.1.22. Аэроинотерапия групповая
;;;;14.2.1.23.;14.2.1.23. Аэроинотерапия индивидуальная или местная
;;;;14.2.1.24.;14.2.1.24. Электроаэрозольтерапия групповая
;;;;14.2.1.25.;14.2.1.25. Электроаэрозольтерапия индивидуа- льная
;;;;14.2.1.6.;14.2.1.6. Электростимуляция мышц (с учетом проведения процедуры врачом)
;;;;14.2.1.7.;14.2.1.7. Электросон (в том числе и церебра- льная электровагинация)
;;;;14.2.1.8.;14.2.1.8. Диадинамо-терапия
;;;;14.2.1.9.;14.2.1.9. СТМ - терапия
;;;;14.2.2.;14.2.2. СВЕТОЛЕЧЕНИЕ
;;;;14.2.2.1.;14.2.2.1. Определение биодозы
;;;;14.2.2.2.;14.2.2.2. УФ - облучение общее и местное
;;;;14.2.2.3.;14.2.2.3. ОБЛУЧЕНИЕ ДРУГИМИ ИСТОЧНИКАМИ СВЕ- ТА:
;;;;14.2.2.3.1.;14.2.2.3.1. лазеротерапия
;;;;14.2.2.4.;14.2.2.4. Электросветовая ванна
;;;;14.2.2.5.;"14.2.2.5. Электростимуляция на аппарате ""ЭЛЕКТРОРСТИМУЛЯТОР"""
;;;;14.2.3.;14.2.3. УЛЬТРАЗВУК
;;;;14.2.3.1.;14.2.3.1. Ультразвуковая терапия
;;;;14.2.3.2.;14.2.3.2. Фонофорез
;;;;14.2.3.3.;14.2.3.3. Инфракрасное излучение
;;;;14.2.3.4.;14.2.3.4. Видимое излучение
;;;;14.2.4.;14.2.4. ИНГАЛЯЦИИ
;;;;14.2.4.1.;14.2.4.1. Ингаляции различные
;;;;14.2.4.2.;14.2.4.2. Кислородотерапия в палатке
;;;;14.2.5.;14.2.5. Лечение детей методами рефлексотера- пии
;;;;14.2.5.1.;14.2.5.1. Аурикулярная рефлексотерапия
;;;;14.2.5.2.;14.2.5.2. Микроиглорефлексотерапия
;;;;14.2.5.3.;14.2.5.3. Поверхностная (кожная) рефлексоте- рапия
;;;;14.2.5.4.;14.2.5.4. Инъекционная (лекарственная) рефле- ксотерапия
;;;;14.2.5.5.;14.2.5.5. Баночный массаж
;;;;14.2.5.6.;14.2.5.6. Прижигание полынной сигарой
